price,title,company_name,location
¥30000,教育电商行业应用软件开发定制系统管理系统软件/saas外包公,飞进科技【匠心技术是体，商业思维是魂】,广州
¥5000,企业管理系统办公软件OA仓库管理ERP系统saas系统开发,名锐讯动-500强合作商,广州
¥998,【新零售电商系统】直销模式商城/微商分销系统/saas商城,七帮科技-商城开发-小程序商城-APP开发,广州
¥138000,新零售app开发社交电商同城电商本地电商便利店app,喜望软件-智慧出行软件供应商,广州
¥100000,系统办公OA，CRM管理系统，ERP管理系统,北京明创科技10年老店高新企业,广州
¥1000,【企业网站建设】网页设计saas网站制作saas网站开发 定制 手机建站,简意电商（中国）官方旗舰店,广州
¥2500,微信预约系统  微商城  微餐饮saas微外卖,缔邦科技,广州
¥20000,办公管理saas定制开发文档管理文件云OA流程管理,云力通信科技-国家高新技术企业,广州
¥30000,微商管理系统开发 saas云平台定制,青火互联科技,广州
¥198000,基于saas可返佣金融CRM管理系统|外汇交易平台|跟单社区,广州链十方科技有限公司,广州
¥25000,ERP管理系统saas定制开发,广东微舟科技服务有限公司,广州
¥300,新零售小程序 外卖配送 堂食点单 预约自提 saas平台,3N新零售平台,广州
¥2000,面向saas行业的AnodoosaasCRM咨询，实施，定制服务,黄思危,广州
¥118000,有信经销管理系统（一款零售生态saas化管理系统）,广州有信科技,广州
¥28000,OA办公管理ERP订单管理CRM客户管理系统saas开发,触角科技—世界500强企业技术供应商,广州
¥25000,标准版网站开发,集市达科技--AAA级信用企业,广州
¥1000,公司企业网站建设开发模板建站网站网页制作设计手机电商网站定制,简意电商连锁品牌店,广州
¥5000,定制企业管理saas如ERP OA CRM HR 进销存,吉群软件,广州
¥500,小程序开发微信开发python公众号开发app定制开发设计,湖畔品牌策划机构,广州
¥99800,一物一码系统源码saas版（防窜、溯源、导购激励、智能营销）,一物一码系统源码供应商,广州
¥600,D3客户管理系统，一键电话外呼系统，线路稳定，下单物流一站式,达梦D3电话外呼系统,广州
¥66600,在线培训管理系统,广州九尾狐,广州
¥19800,刷脸支付聚合支付带收银手机点单多级代理管理独立部署系统源码,囧脸科技,广州
¥5999,Sharepoint 协同办公,Sharepoint服务,广州
¥1,免费提供企业信息安全整体规划与解决方案服务,广州免费信息化建设服务,广州
¥50,金蝶erp k3wise及cloud问题解决，实施及开发,ecobanyan,广州
¥50000,视频会议系统全套解决方案saas在线会议saas云服务,简会音视频会议系统,广州
¥999,服务器安全加固,喵星信息科技公司,广州
¥5000,GIS数据分析,姓袁的那小子1,广州
¥3000,科驿运输管理系统  TMS系统,科驿运输管理系统,广州
¥30000,道路3D虚拟仿真沙盘,广州智方信息科技有限公司,广州
¥30000,分销管理系统,佳德品技术,广州
¥1200,外卖管理系统 | 接单管理 | 订餐系统 | 配送对接,餐道O2O,广州
¥29000,成品知识付费音视频课程讲师分销源码系统二开在线教育系统,广东敢想科技-微信/APP开发,广州
¥1,健身管理，预定系统，电商系统，资讯系统,广州云动软件科技,广州
¥888,微信预约系统 照相馆预约 美业预约 健身预约 小程序预约,简约网,广州
¥50000,悠艺展厅集成中控系统开发,悠艺科技,广州
¥1000,OA系统开发办公自动化后台管理考勤移动客户端定制自动化平台,广州中杰科技,广州
¥6800,全球分红系统,母婴分销阁,广州
¥500,新 微商 线上线下微商运作 防伪防窜 代理商无库存压力 分销,iOS云控旺铺,广州
¥1800,经济型微信,了解科技-微信app开发,广州
¥50000,停车场管理,广州耀瑞网络科技有限公司,广州
¥30000,APP开发|购物商城|社交交友|在线教育|移动医疗,游控派信息科技有限公司,广州
¥1,【快递鸽收款】快递员收款APP，支持微信和支付宝扫码收款,梦森科技,广州
¥10000,【App开发】社交app 服务app 餐饮app,广州市鑫浪信息科技有限公司,广州
¥31000,建众赢商CRM，更懂家居建材的移动销售专家,建众赢商,广州
¥8000,【独立部署非saas版】微信小程序商城标准版，可升级分销商城,移动梦工场旗舰店,广州
¥19800,区块链定制开发|数字资产|钱包|交易平台|DAPP|智能合约,小当家ISV,广州
¥100000,手机直播平台源代码（Android+iOS+后台系统）,Chrispy,广州
¥20000,微信营销系统，全行业适用,曦胜科技,广州
¥888,批量查询高考成绩保存到excel,小木头软件,广州
¥100000,各种动效APP开发,wuchun_4,广州
¥36000,一体化移动办公OA  CRM人事财务项目管理APPsaas开发,微班信息,广州
¥300,Kimi连连看android源码商业游戏源码休闲娱乐游戏代,杨幂商城,广州
¥800,solidworks 定制服务,广州凯思,广州
¥79800,便利店app开发手机超市店铺连锁店社区电商类似闪电购爱鲜蜂,喜望软件-智慧出行软件供应商,广州
¥50000,明创合同管理文档管理ERP系统CRM客户管理系统协同OA办公,北京明创科技10年老店高新企业,广州
¥7800,微教育 小程序开发 微信二次开发微教育多校版搭建定制,缔邦科技,广州
¥20000,成品saas合同管理协同办公OA项目管理文档管理,云力通信科技-国家高新技术企业,广州
¥1800000,企业系统开发,集市达科技--AAA级信用企业,广州
¥2000,网页UI设计官网设计APPsaas界面设计,简意电商连锁品牌店,广州
¥1000,网站制作web前端二次开发网站维护商城网站前端定制开发,湖畔品牌策划机构,广州
¥600,D3电销系统，电话外呼系统，电销系统，下单出库物流一步到位,达梦D3电话外呼系统,广州
¥6000,活动在线管理,广州九尾狐,广州
¥19800,社区电商系统开发｜社交电商系统搭建｜会员制社交电商系统,青火互联科技,广州
¥139000,MT4白标搭建|金融CRM|返佣外汇交易|跟单|基金,广州链十方科技有限公司,广州
¥5999,Sharepoint Online文档管理,Sharepoint服务,广州
¥1,小程序汽车维修店美容店专用APP电脑,广州免费信息化建设服务,广州
¥1000,人脸识别系统 回头客 客流分析 门店saas商场saas超市零售行业,3N新零售平台,广州
¥50,金蝶erp系统问题解决，实施及开发,ecobanyan,广州
¥2000,视频会议系统SDKsaas在线会议saas云服务saasAPI,简会音视频会议系统,广州
¥5000,地图制作及优化,姓袁的那小子1,广州
